case,pv01,dv01_01,dv01_02,pv04_01,pv27,pv05,pv06_01,pv07_01,pv32_01,pv09,pv09_01,pv09_02,sd37,sd37_01,sd37_02,pv10,pv31,pv26,pv17,pv24,pv30,pv11_01,pv12,pv13_01,pv35,pv34,pv28,sd01,sd25_01,sd09_01,sd10,sd10_09,sd12,sd12_01,sd12_02,sd12_03,sd12_04,sd12_05,sd12_06,sd12_07,sd12_08,sd12_09,sd12_14,sd12_13,sd12_13a,sd14,sd14_10,sd17_01,sd40_01,sd21,sd21_10,sd30,sd50,sd50_01,sd50_02,sd47,sd47_01,sd47_02,sd45,sd45_01,sd45_02,sd36,sd36_01,sd36_02,sd52,sd52_01,sd52_02,sd49,sd49_01,sd49_02,sd44,sd44_01,sd44_02,sd41_16_cn,sd41_16_1,sd41_16_2,sd41_16_3,sd41_16_4,sd41_16_5,sd41_17_cn,sd41_17_1,sd41_17_2,sd41_17_3,sd41_17_4,sd41_17_5,sd41_12_cn,sd41_12_1,sd41_12_2,sd41_12_3,sd41_12_4,sd41_12_5,sd41_13_cn,sd41_13_1,sd41_13_2,sd41_13_3,sd41_13_4,sd41_13_5,sd41_07_cn,sd41_07_1,sd41_07_2,sd41_07_3,sd41_07_4,sd41_07_5,sd41_18_cn,sd41_18_1,sd41_18_2,sd41_18_3,sd41_18_4,sd41_18_5,sd41_15_cn,sd41_15_1,sd41_15_2,sd41_15_3,sd41_15_4,sd41_15_5,sd41_06_cn,sd41_06_1,sd41_06_2,sd41_06_3,sd41_06_4,sd41_06_5,sd41_11_cn,sd41_11_1,sd41_11_2,sd41_11_3,sd41_11_4,sd41_11_5,sd41_04_cn,sd41_04_1,sd41_04_2,sd41_04_3,sd41_04_4,sd41_04_5,sd41_03_cn,sd41_03_1,sd41_03_2,sd41_03_3,sd41_03_4,sd41_03_5,sd41_05_cn,sd41_05_1,sd41_05_2,sd41_05_3,sd41_05_4,sd41_05_5,sd41_10_cn,sd41_10_1,sd41_10_2,sd41_10_3,sd41_10_4,sd41_10_5,sd41_09_cn,sd41_09_1,sd41_09_2,sd41_09_3,sd41_09_4,sd41_09_5,sd43_16_cn,sd43_16_1,sd43_16_2,sd43_16_3,sd43_17_cn,sd43_17_1,sd43_17_2,sd43_17_3,sd43_12_cn,sd43_12_1,sd43_12_2,sd43_12_3,sd43_13_cn,sd43_13_1,sd43_13_2,sd43_13_3,sd43_07_cn,sd43_07_1,sd43_07_2,sd43_07_3,sd43_18_cn,sd43_18_1,sd43_18_2,sd43_18_3,sd43_15_cn,sd43_15_1,sd43_15_2,sd43_15_3,sd43_06_cn,sd43_06_1,sd43_06_2,sd43_06_3,sd43_11_cn,sd43_11_1,sd43_11_2,sd43_11_3,sd43_04_cn,sd43_04_1,sd43_04_2,sd43_04_3,sd43_03_cn,sd43_03_1,sd43_03_2,sd43_03_3,sd43_05_cn,sd43_05_1,sd43_05_2,sd43_05_3,sd43_10_cn,sd43_10_1,sd43_10_2,sd43_10_3,sd43_09_cn,sd43_09_1,sd43_09_2,sd43_09_3,sd39,sd38,sd51,sd48,sd46,sd54_01,ta02,ta03_count,ta03_1,ta03_2,ta03_3,ta03_4,ta03_5,ta03_6,ta03_7,ta03_8,ta03_9,ta03_10,ta03_11,ta03_12,ta03_13,ta03_14,ta03_15,ta03_16,ta03_17,ta03_18,ta03_19,ta03_20,ta03_21,ta03_22,ta03_23,ta03_24,ta04_count,ta04_1,ta04_2,ta04_3,ta04_4,ta04_5,ta04_6,ta04_7,ta04_8,ta04_9,ta04_10,ta04_11,ta04_12,ta04_13,ta04_14,ta04_15,ta04_16,ta04_17,ta04_18,ta04_19,ta04_20,ta04_21,ta04_22,ta04_23,ta04_24,ta05_01,ta06_01,ta07_01,ta08_01,ta09_01,age,protrans_att,protrans_attex,pronuke_att,num_charg,sizeclas,school,isced11,nuts2,nuts3,flatsize,hh_size,num_chld,hh_inc,size_pp,pv_year,fit,pv_pow,pv_cost,pv_gen23,pv_fin23,pv_fin23eur,pv_gen22,pv_fin22,pv_fin22eur,pv_purc,pv_purceur,pvfi_23,pvfi_22,no_purc,no_purceur,elcpur23_pv,elcpur23_non,elcpur23,pvsc_23,pvsc_22,raus,outlier,filter,tv,dish,wash,dryer,pc,oven,freezer,heater,ebike,ecar,aircon,sauna,pool,fridge,,ta08_01_korr
4638,1,11,9, ,1,25,1728,1727,1847,1,1009, ,1,1425, ,1,1,1,1,1,2, ,15,1942,1,1,1,1,1988,   10115,7, ,1,1,1,1,1,2,1,1,1,1,1,1, ,-9, ,8000,120,4, ,2,1,962, , , , ,1,728, ,1,953, ,1,962, , , , ,1,953, ,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1,1, ,1,10,23,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1, , ,77,73,14,35,3,"2,69230769230769","2,5",1, ,3,6,10,101,120,4,2,8000,30,2023,"8,2", ,1728,1727,1009, ,1847,952, ,1425, ,1009,952, , ,1425, ,1425,718,895,0, , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,72
4729,1,6,5,67,1,25,9807,489, ,-9, , ,-9, , ,1,2,2,-9,1,1, ,15, ,1, ,1,1,2003,   79807,3, ,1,1,1,2,1,1,1,1,1,1,1,1, ,3, , , ,-9, , ,-9, , , , , , , , , , , ,-9, , , , , , , , ,1,1,1,1,1,2,1,1,1,1,2,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,0,1,1,1,1,1,2,1,1,1,2,2,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, ,-8, , ,6,-9,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1, , , ,-9, ,20,"3,6","3,53846153846154","4,5",-9,67,1,3,79,798, , , , , ,2023,"8,2",67,9807,489, , , , , , , , , , , , , , , , ,0, , ,1,1,1,1,2,2,1,1,1,2,1,2,1,1,,
4735,1,5,6,"2,5",2,22,45000,1400, ,1,600, ,1,900, ,2,2,3, ,15,10, , , ,2, , ,1,1995,   44135,7, ,1,1,1,1,1,1,1,1,2,1,1,1, ,5, ,4500,120,3, ,1,1,2300, , , , , , , ,1,900, ,1,900, , , , , , , ,3,2,2,2,1,1,3,2,2,2,1,1,3,2,2,2,1,1,3,2,2,2,1,1,0,1,1,1,1,1,3,2,2,2,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2, , ,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,55,1,0,28,"4,1","4,23076923076923",4,6,2,5,7,44,441,120,3,1,4500,40,2020,"9,1","2,5",45000,1400,600, , , , ,900, ,600, , , ,900, ,900,800, ,0, , ,2,2,2,1,2,1,1,1,2,2,1,1,1,2,,0
4853,1,11,8, ,1,25,1734,633,963,1,842, ,1,834, ,1,1,1,1,1,1, ,15,1832,1,1,1,2,1988,   10115,7, ,1,1,1,1,1,2,1,1,1,1,1,1, ,6, ,7000,173,4, ,2,1,742, , , , ,1,852, ,1,952, ,1,941, , , , ,1,963, ,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1,1, ,1,10,23,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1, , ,80,94,15,35,"2,8","2,53846153846154",3,1, ,3,6,10,101,173,4,2,7000,"43,25",2023,"8,2", ,1734,633,842, ,963,952, ,834, ,842,952, , ,834, ,834,-209,11,0, , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,93
5174,1,-9,7,"1,2",2,22,14500,1234,40,1,10, ,1,10, ,1,1,1,4,3,5,"1,6",12,6000,2,2,1,1,1995,     701,7, ,1,1,1,1,1,1,1,1,2,1,1,1, ,6, ,4500,500,4, ,1,1,12, , , , ,1,40, ,1,10, ,1,12, , , , ,1,40, ,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,2,1,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1,1, ,1,5,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,8,56,8,7,28,"3,5","3,30769230769231","3,5",5,1,5,7,70,701,500,4,1,4500,125,2020,"9,1","1,2",14500,1234,10, ,40,40, ,10, ,10,40, , ,10, ,10,1224,0,0, , ,2,2,2,2,2,2,2,2,2,2,2,1,2,2,,7
5222,1,1,9,"5,5",2,15,15000,5000, ,2, ,",32",2, ,800,2,2,3, ,10,2, , , ,2, , ,2,1975,     892,10, ,1,1,1,1,1,1,1,1,1,1,2,1, ,4, ,0,125,3, ,0,1,3500, , , , , , , , , , ,1,2800, , , , , , , ,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, ,2, , ,7,23,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,-9,0,48,"2,8","2,53846153846154","2,5",1,5, , ,89,892,125,3, , ,"41,6666666666667",2013,"15,29","5,5",15000,5000, , , , , , ,800, , , , ,"1728,98206181111", ,"1728,98206181111", , ,0, , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,
5249,1,8,7,"1,5",2,24,15000,1567, ,1,500, ,1,1000, ,1,2,1,2,4,4,"1,7",15,3000,2, ,2,1,2001,   50667,7, ,1,1,1,1,1,1,2,1,1,1,1,1, ,5, ,5000,150,4, ,2,2, , , , , , , , ,1,600, ,1,0, , , , , , , ,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,-8,2, , ,8,24,7,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,60,55,4,22,"3,1","2,92307692307692","3,5",2,1,3,3,50,506,150,4,2,5000,"37,5",2022,"7,23","1,5",15000,1567,500, , , , ,1000, ,500, , , ,1000, ,1000,1067, ,0, , ,2,2,2,2,2,2,2,2,1,2,2,2,1,2,,54
5489,1,6,7,"1,4",2,25,20000,800, ,1,200, ,2, ,1800,1,2,2,10,10,12,4000,15,12000,2, ,2,2,1988,   53113,7, ,1,1,1,1,1,1,1,2,1,1,1,1, ,4, ,6000,180,4, ,2,2, ,2300, , , , , , ,2, ,2400,2, ,2400, , , , , , ,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1,2, , ,8,7,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,2,6,60,51,100,35,"2,8","2,69230769230769",2,10,1,4,6,53,531,180,4,2,6000,45,2023,"8,2","1,4",20000,800,200, , , , , ,1800,200, , , ,"3890,20963907499", ,"3890,20963907499",600, ,0, , ,2,2,2,2,2,2,2,2,2,2,1,1,1,2,,50
5529,1,8,5,12,1,22,29000,67, ,2, ,210,1,2445, ,1,2,2,9,10,2,25,12,12000,1, ,1,2,1975,   63450,6, ,1,1,1,1,1,2,1,1,1,1,1,1, ,4, ,7500,350,4, ,1,1,2378, , , , , , , , , , ,2, ,876, , , , , , ,1,2,1,1,1,1,2,2,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,2,1,1,2,2,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,1,1,2,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, ,1, , ,7,7,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,5,1,66,34,6,48,"3,3",3,"2,5",10,12,2,6,63,634,350,4,1,7500,"87,5",2020,"9,1",12,29000,67, ,210, , , ,2445, ,"2307,69230769231", , , ,2445, ,2445,"-2240,69230769231", ,0, , ,2,2,2,2,1,1,1,2,2,2,2,1,1,2,,33
5601,1,1,1,8,2,25,5000,800, ,2, ,0,1,3500, ,2,2,3, ,5,1, , , ,2, , ,1,1979,   33332,4, ,2,1,1,2,2,1,1,1,1,1,1,1, ,6, ,3000,156,4, ,2,1,5200, , , , , , , , , , ,2, ,0, , , , , , ,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,2,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, ,2, , ,7,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,56,47,10,44,"3,7","3,30769230769231",4,6,8,2,4,33,333,156,4,2,3000,39,2023,"8,2",8,5000,800, ,0, , , ,3500, ,0, , , ,3500, ,3500,800, ,0, , ,2,2,2,2,2,2,2,1,1,2,1,1,1,2,,46
5709,1,8,7,1400,2,24,2000,1250, ,2, ,0,2, ,1860,2,2,5, ,3,2, , , ,2, , ,2,1970,   92224,7, ,1,1,1,1,1,1,1,2,1,1,1,1, ,4, ,95000,230,2, ,0,2, ,3000, , , , , , , , , ,2, ,0, , , , , , ,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,0,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, ,2, , ,6,5,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,5,76,-1,0,53,"1,9","1,84615384615385","1,5",8,1400,4,6,92,922,230,2, ,95000,115,2022,"7,23","1,4",2000,1250, ,0, , , , ,1860,0, , , ,"4019,88329371083", ,"4019,88329371083",1250, ,0, , ,2,2,2,2,2,2,2,1,2,2,1,1,1,2,,
5731,1,7,9,"3,5",2,25,25000,5000, ,2, ,80,2, ,500,1,2,1,10,18,7,10,15,10000,2, ,2,2,1979,   70794,7, ,1,1,1,1,1,1,1,1,2,1,1,1, ,4, ,5500,150,4, ,2,2, ,2000, , , , , , ,2, ,300,2, ,0, , , , , , ,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,0,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,2,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2, , ,5,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,60,83,50,44,"2,7","2,69230769230769","2,5",5,3,5,7,70,707,150,4,2,5500,"37,5",2023,"8,2","3,5",25000,5000, ,80, , , , ,500,"975,609756097561", , , ,"1080,61378863194", ,"1080,61378863194","4024,39024390244", ,0, , ,2,2,2,2,1,2,2,1,1,2,1,1,1,2,,82
6165,1,8,7,",6",2,25,500,600, ,1,100, ,1,2000, ,2,2,3, ,3,4, , , ,3, , ,2,1978,   59872,4, ,1,1,1,2,1,1,1,1,1,1,1,1, ,4, ,4000,100,3, ,1,1,3000, , , , , , , , , , ,1,0, , , , , , , ,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, ,-8, , ,8,4,4,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,4,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,100,7,20,45,"2,3","2,30769230769231","1,5",7,0,2,3,59,598,100,3,1,4000,"33,3333333333333",2023,"8,2",",6",500,600,100, , , , ,2000, ,100, , , ,2000, ,2000,500, ,0, , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,6
6211,1,3,3,"16,4",2,25,32000,250, ,2, ,75,1,7000, ,1,2,3,10,20,2,"9,6",15,0,3, ,1,2,1968,   59269,6, ,1,1,1,1,1,2,1,1,1,1,1,1, ,4, ,1,165,2, ,0,1,8000, , , , , , , , , , ,1,16000, , , , , , , ,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,0,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,2,1,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, ,2, , ,6,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,52,25,50,55,"3,3","2,92307692307692","2,5",6,16,2,6,59,592,165,2, ,1,"82,5",2023,"8,2","16,4",32000,250, ,75, , , ,7000, ,"914,634146341464", , , ,7000, ,7000,"-664,634146341464", ,0, , ,2,2,2,2,2,2,2,1,2,2,1,1,2,2,,24
6243,1,4,3, ,1,25,600, , , , , ,-9, , ,2,2,2, ,4,3, , , ,1, , ,1,1991,    8315,4, ,1,1,1,1,2,1,1,1,1,1,1,1, ,4, ,5000,150,3, ,1,1,200, , , , , , , , , , ,1,200, , , , , , , ,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, ,2, , ,10,23,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,45,12,100,32,3,3,3,1, ,2,4,83,831,150,3,1,5000,50,2023,"8,2", ,600, , , , , , , , , , , , , , , , , ,0, , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,11
6277,1,8,9,1,1,25,800,1, ,2, ,0,2, ,100,2,2,3, ,4,1, , , ,1, , ,2,1987,   28876,7, ,1,1,1,1,2,1,1,1,1,1,1,1, ,4, ,5000,180,5, ,2,2, ,0, , , , , , , , , ,2, ,0, , , , , , ,1,1,1,1,1,2,1,1,1,2,1,1,2,1,1,2,1,2,2,1,2,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,2,1,1,1,2,2,1,1,1,2,0,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,2,1,1,1,2,2,1,1,2,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, ,2, , ,9,23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,0,0,1,0,36,3,3,3,1,1,3,4,28,288,180,5,2,5000,36,2023,"8,2",1,800,1, ,0, , , , ,100,0, , , ,"216,122757726389", ,"216,122757726389",1, ,0, , ,2,2,2,1,1,2,2,1,2,2,2,1,2,1,,0
6314,1,8,8,5,2,24,12000,55, ,1,250, ,1,500, ,2,2,3, ,10,6, , , ,2, , ,2,1997,   34326,7, ,1,1,1,1,1,1,1,2,1,1,1,1, ,-9, ,2650,140,3, ,2,1,2800, , , , , , , ,1,500, ,1,1500, , , , , , , ,1,1,1,1,1,2,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1,2, , ,6,4,8,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,10,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,2,60,61,10,26,"2,9","2,76923076923077","2,5",7,5,4,6,34,343,140,3,2,2650,"46,6666666666667",2022,"7,23",5,12000,55,250, , , , ,500, ,250, , , ,500, ,500,-195, ,0, , ,2,2,2,2,2,2,2,2,2,2,2,1,1,1,,60
6338,1,2,2,12,2,12,60000,12000, ,2, ,5000,2, ,3000,2,2,3, ,12,1, , , ,3, , ,1,1973,   37345,4, ,1,1,1,2,1,1,1,1,1,1,1,1, ,4, ,3000,100,4, ,0,-9, , , , , , , , , , , ,-9, , , , , , , , ,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, ,2, , ,6,-9,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1, , , ,-9, ,50,3,3,3,-9,12,2,3,37,373,100,4, ,3000,25,2010,"39,14",12,60000,12000, ,5000, , , , ,3000,"12774,6550843127", , , ,"6483,68273179166", ,"6483,68273179166","-774,655084312722", ,0, , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,
6504,1,9,9,"1,22",2,22,12000,1250, ,1,1200, ,1,1200, ,1,2,2,3,1,3,"1,5",12,1200,2, ,1,1,1986,   55481,7, ,1,1,1,1,1,1,1,1,2,1,1,1, ,4, ,20000,150,4, ,2,1,1200, , , , , , , ,1,1200, ,1,1200, , , , , , , ,1,2,1,1,1,1,2,2,1,2,1,1,1,2,1,1,1,1,2,2,1,2,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,-8,1, , ,6,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,"1,5",1,60,51,10,37,"3,1","2,92307692307692",3,5,1,5,7,55,554,150,4,2,20000,"37,5",2020,"9,1","1,22",12000,1250,1200, , , , ,1200, ,1200, , , ,1200, ,1200,50, ,0, , ,2,2,2,1,2,1,2,2,2,2,2,1,1,2,,50
